FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1389753|Jajlao|Area|GU|66|Guam|010|132458N|1444536E|13.4161111|144.76|||||66|217|Talofofo|02/06/1981|
1389754|Jalaihai Point|Summit|GU|66|Guam|010|131741N|1444551E|13.2947222|144.7641667|||||24|79|Talofofo|02/06/1981|
1389755|Jalaojan|Area|GU|66|Guam|010|131652N|1444115E|13.2811111|144.6875|||||76|249|Merizo|02/06/1981|
1389756|Jangga|Area|GU|66|Guam|010|132556N|1444408E|13.4322222|144.7355556|||||125|410|Hagatna|02/06/1981|
1389757|Janum Point|Cape|GU|66|Guam|010|133117N|1445500E|13.5213889|144.9166667|||||62|203|Pati Point|02/06/1981|
1389758|Janum Spring|Spring|GU|66|Guam|010|133055N|1445446E|13.5152778|144.9127778|||||0|0|Pati Point|02/06/1981|
1389759|Jaotan|Populated Place|GU|66|Guam|010|131517N|1444035E|13.2547222|144.6763889|||||0|0|Merizo|02/06/1981|
1389760|Jaotan Point|Cape|GU|66|Guam|010|131512N|1444030E|13.2533333|144.675|||||0|0|Merizo|02/06/1981|
1389762|Jinago|Ridge|GU|66|Guam|010|131651N|1444007E|13.2808333|144.6686111|||||46|151|Merizo|02/06/1981|
1389763|Mount Jinago|Summit|GU|66|Guam|010|131653N|1443954E|13.2813889|144.665|||||31|102|Merizo|02/06/1981|
1389764|Jinapsan Beach|Beach|GU|66|Guam|010|133804N|1445302E|13.6344444|144.8838889|||||18|59|Ritidian Point|02/06/1981|
1389765|Jinapsan Point|Summit|GU|66|Guam|010|133807N|1445242E|13.6352778|144.8783333|||||157|515|Ritidian Point|02/06/1981|
1389766|Joa|Locale|GU|66|Guam|010|131559N|1444108E|13.2663889|144.6855556|||||67|220|Merizo|02/06/1981|
1389767|John F Kennedy High School|School|GU|66|Guam|010|132959N|1444740E|13.4997222|144.7944444|||||38|125|Hagatna|02/06/1981|06/03/2010
1389768|Jones Beach|Beach|GU|66|Guam|010|132113N|1444607E|13.3536111|144.7686111|||||23|75|Talofofo|02/06/1981|
1389769|Julog|Populated Place|GU|66|Guam|010|131523N|1444059E|13.2563889|144.6830556|||||2|7|Merizo|02/06/1981|
1389770|Jumullong Manglo|Summit|GU|66|Guam|010|131941N|1444012E|13.3280556|144.67|||||255|837|Agat|02/06/1981|02/16/2010
1389771|La Sa Fua River|Stream|GU|66|Guam|010|131817N|1443920E|13.3047222|144.6555556|131817N|1443920E|13.3047222|144.6555556|0|0|Agat|02/06/1981|
1389772|Lada|Area|GU|66|Guam|010|131547N|1444416E|13.2630556|144.7377778|||||2|7|Inarajan|02/06/1981|
1389773|Ladae|Summit|GU|66|Guam|010|131753N|1444009E|13.2980556|144.6691667|||||28|92|Agat|02/06/1981|
1389774|Ladai|Area|GU|66|Guam|010|132150N|1443904E|13.3638889|144.6511111|||||8|26|Agat|02/06/1981|
1389775|Ladera|Unknown|GU|66|Guam|010|132257N|1444014E|13.3825|144.6705556|||||144|472|Agat|02/06/1981|
1389776|Laelae|Area|GU|66|Guam|010|131802N|1444025E|13.3005556|144.6736111|||||37|121|Agat|02/06/1981|
1389777|Laelae River|Stream|GU|66|Guam|010|131749N|1443950E|13.2969444|144.6638889|131749N|1443950E|13.2969444|144.6638889|10|33|Agat|02/06/1981|
1389778|Lafac Point|Cape|GU|66|Guam|010|133409N|1445631E|13.5691667|144.9419444|||||3|10|Pati Point|02/06/1981|
1389779|Laguan River|Stream|GU|66|Guam|010|131855N|1444020E|13.3152778|144.6722222|131855N|1444020E|13.3152778|144.6722222|209|686|Agat|02/06/1981|
1389780|Laguas River|Stream|GU|66|Guam|010|132635N|1444058E|13.4430556|144.6827778|132635N|1444058E|13.4430556|144.6827778|1|3|Apra Harbor|02/06/1981|
1389781|Laguina|Area|GU|66|Guam|010|132227N|1444417E|13.3741667|144.7380556|||||108|354|Talofofo|02/06/1981|
1389782|Lalapo|Area|GU|66|Guam|010|132010N|1443926E|13.3361111|144.6572222|||||109|358|Agat|02/06/1981|
1389783|Lalas Rock|Island|GU|66|Guam|010|131819N|1443910E|13.3052778|144.6527778|||||0|0|Agat|02/06/1981|
1389784|Lalo|Populated Place|GU|66|Guam|010|132707N|1444806E|13.4519444|144.8016667|||||61|200|Dededo|02/06/1981|
1389785|Mount Lamlam|Summit|GU|66|Guam|010|132019N|1443946E|13.3386111|144.6627778|||||280|919|Agat|02/06/1981|
1389786|Laolao|Summit|GU|66|Guam|010|131709N|1444344E|13.2858333|144.7288889|||||48|157|Inarajan|02/06/1981|
1389787|Laolao River|Stream|GU|66|Guam|010|131648N|1444402E|13.28|144.7338889|131648N|1444402E|13.28|144.7338889|49|161|Inarajan|02/06/1981|
1389788|Lasodiac Rock|Unknown|GU|66|Guam|010|131555N|1444422E|13.2652778|144.7394444|||||18|59|Inarajan|02/06/1981|
1389789|Latte Point|Cape|GU|66|Guam|010|133455N|1445651E|13.5819444|144.9475|||||159|522|Pati Point|01/01/2000|
1389790|Latte Stone|Unknown|GU|66|Guam|010|132738N|1444438E|13.4605556|144.7438889|||||41|135|Hagatna|02/06/1981|
1389791|Latte Stone Park|Park|GU|66|Guam|010|132816N|1444455E|13.4711111|144.7486111|||||55|180|Hagatna|02/06/1981|
1389792|Layon|Area|GU|66|Guam|010|131752N|1444344E|13.2977778|144.7288889|||||97|318|Talofofo|02/06/1981|
1389793|Admiral William E Leahy Sports Complex|Park|GU|66|Guam|010|132823N|1444813E|13.4730556|144.8036111|||||79|259|Dededo|01/01/2000|
1389794|Leary Junction|Populated Place|GU|66|Guam|010|132832N|1444505E|13.4755556|144.7513889|||||2|7|Hagatna|02/06/1981|
1389795|Leyan|Populated Place|GU|66|Guam|010|132720N|1444809E|13.4555556|144.8025|||||68|223|Dededo|02/06/1981|
1389796|Liguan|Area|GU|66|Guam|010|133045N|1444916E|13.5125|144.8211111|||||63|207|Dededo|02/06/1981|
1389797|Liguan Point|Cape|GU|66|Guam|010|131442N|1444217E|13.245|144.7047222|||||0|0|Inarajan|02/06/1981|
1389798|Lingae|Populated Place|GU|66|Guam|010|131521N|1444049E|13.2558333|144.6802778|||||3|10|Merizo|02/06/1981|
1389799|Liyog|Area|GU|66|Guam|010|131504N|1444206E|13.2511111|144.7016667|||||10|33|Inarajan|02/06/1981|
1389800|Liyog River|Stream|GU|66|Guam|010|131445N|1444218E|13.2458333|144.705|131445N|1444218E|13.2458333|144.705|0|0|Inarajan|02/06/1981|
1389801|Mount Llicho|Summit|GU|66|Guam|010|131737N|1444101E|13.2936111|144.6836111|||||224|735|Agat|02/06/1981|
1389802|Lockwood Terrace|Populated Place|GU|66|Guam|010|132557N|1443853E|13.4325|144.6480556|||||22|72|Apra Harbor|02/06/1981|
1389803|Lofon|Area|GU|66|Guam|010|131934N|1443934E|13.3261111|144.6594444|||||24|79|Agat|02/06/1981|
1389804|Lomongan Ifit|Area|GU|66|Guam|010|132802N|1444538E|13.4672222|144.7605556|||||3|10|Hagatna|02/06/1981|
1389805|Lonfit|Area|GU|66|Guam|010|132606N|1444519E|13.435|144.7552778|||||19|62|Hagatna|02/06/1981|
1389806|Lonfit River|Stream|GU|66|Guam|010|132606N|1444511E|13.435|144.7530556|132606N|1444511E|13.435|144.7530556|11|36|Hagatna|02/06/1981|
